LATITUDE,LONGITUDE,ACQ_DATE,NAMEFIN
63.15212012121212,23.97389028787879,2018-04-01,Etelä-Pohjanmaa
62.05826992592593,24.803505043572983,2018-05-01,Keski-Suomi
62.49274053333334,24.084271914285715,2018-06-01,Etelä-Pohjanmaa
63.34414365665236,24.402264317596565,2018-07-01,Keski-Pohjanmaa
62.84052327093596,24.01240819211823,2018-08-01,Etelä-Pohjanmaa
63.331715135135134,24.648343864864867,2018-09-01,Keski-Pohjanmaa
63.28847450769231,24.068190784615386,2018-10-01,Keski-Pohjanmaa
63.91247894117647,24.185199729411767,2018-11-01,Keski-Pohjanmaa
62.70782742307692,23.808605115384616,2018-12-01,Etelä-Pohjanmaa
64.41726711111112,24.67815427777778,2019-01-01,Pohjois-Pohjanmaa
61.48050546153846,23.483790692307693,2019-02-01,Pirkanmaa
63.025749148148144,23.92908025925926,2019-03-01,Etelä-Pohjanmaa
62.766339881656805,24.24073027218935,2019-04-01,Etelä-Pohjanmaa
62.17539424074074,23.95971728703704,2019-05-01,Pirkanmaa
62.317812730158735,25.241759825396823,2019-06-01,Keski-Suomi
62.38811757352941,24.17750551470588,2019-07-01,Keski-Suomi
62.52467263125,24.338976743750003,2019-08-01,Etelä-Pohjanmaa
