LATITUDE,LONGITUDE,ACQ_DATE
60.708847,26.586697,2012-05-14
60.702362,26.593628,2012-05-14
60.702232,26.587183,2012-05-14
60.707493,26.586712,2012-05-14
60.707615,26.593136,2012-05-14
60.284378,22.294329,2012-05-14
59.880535,23.210096,2012-05-14
59.875317,23.219465,2012-05-14
60.288589,22.291847,2012-05-15
60.757591,26.552486,2012-05-15
60.778057,26.55703,2012-05-15
60.310749,25.525429,2012-05-15
60.288715,22.286934,2012-05-15
60.284805,22.289661,2012-05-15
60.313168,25.528732,2012-05-16
64.65023,24.425922,2012-05-19
64.646301,24.424156,2012-05-19
64.644684,24.430523,2012-05-19
62.362495,29.778088,2012-05-19
59.877831,23.212414,2012-05-19
64.643913,24.425222,2012-05-19
60.287464,22.287735,2012-05-19
59.877659,23.215921,2012-05-19
59.876907,23.215803,2012-05-20
60.116817,24.47003,2012-05-20
59.87632,23.218235,2012-05-20
59.875301,23.216105,2012-05-20
60.288631,22.291754,2012-05-20
59.881203,23.214308,2012-05-20
59.875828,23.213924,2012-05-20
59.875706,23.220409,2012-05-20
60.284977,22.292582,2012-05-21
64.645859,24.426798,2012-05-21
64.644669,24.424809,2012-05-21
60.438118,24.662815,2012-05-21
62.243084,29.108995,2012-05-21
64.644783,24.427975,2012-05-21
64.646561,24.429995,2012-05-21
60.286793,22.285645,2012-05-21
60.287766,22.286163,2012-05-21
59.876274,23.217104,2012-05-21
60.288181,22.292948,2012-05-22
60.285,22.290731,2012-05-22
59.875153,23.215912,2012-05-22
60.782982,26.07938,2012-05-22
60.285503,22.28838,2012-05-22
64.644257,24.430481,2012-05-22
64.655899,24.432583,2012-05-23
64.653633,24.421778,2012-05-23
64.649216,24.427969,2012-05-23
64.645874,24.425663,2012-05-23
61.030228,28.171558,2012-05-23
60.287777,22.293289,2012-05-23
61.348289,29.23127,2012-05-23
61.346172,29.225508,2012-05-23
61.34927,29.228197,2012-05-23
61.347134,29.22246,2012-05-23
61.346302,29.228104,2012-05-23
61.030014,28.173927,2012-05-24
60.288456,22.288692,2012-05-24
59.877796,23.210493,2012-05-24
59.874443,23.218241,2012-05-24
59.874386,23.219915,2012-05-24
64.644684,24.422146,2012-05-24
60.288441,22.289209,2012-05-25
60.286377,22.292589,2012-05-25
60.428383,22.628059,2012-05-25
60.286324,22.294044,2012-05-25
60.286064,22.285749,2012-05-26
60.284184,22.294046,2012-05-26
60.677174,23.518097,2012-05-26
60.677521,23.521072,2012-05-26
64.645767,24.427353,2012-05-26
64.659851,24.426279,2012-05-26
60.286057,22.288933,2012-05-26
63.347198,25.601444,2012-05-26
60.285717,22.284901,2012-05-26
60.287491,22.288891,2012-05-26
64.645592,24.430035,2012-05-27
60.285164,22.292128,2012-05-27
63.524529,24.064823,2012-05-27
60.28698,22.290339,2012-05-27
64.64901,24.421272,2012-05-27
64.646027,24.429626,2012-05-27
60.286179,22.288914,2012-05-27
64.645271,24.43034,2012-05-28
60.286514,22.290794,2012-05-28
61.592106,28.994293,2012-05-28
64.645111,24.428682,2012-05-28
64.659187,24.427109,2012-05-28
60.288174,22.292267,2012-05-30
64.645851,24.426773,2012-05-30
64.644508,24.427683,2012-05-30
64.646294,24.425583,2012-05-30
64.647034,24.42944,2012-05-30
61.334087,22.227613,2012-05-30
60.315685,25.524658,2012-06-04
60.316738,25.526321,2012-06-04
60.284958,22.291447,2012-06-04
64.644905,24.426777,2012-06-05
63.644371,22.6059,2012-06-06
61.318066,22.124331,2012-06-07
61.321274,22.122263,2012-06-07
60.284691,22.292955,2012-06-08
61.029934,28.175241,2012-06-09
60.287014,22.293816,2012-06-09
60.285702,22.285645,2012-06-09
60.284828,22.294741,2012-06-09
62.83839,22.597977,2012-06-09
62.843403,22.602797,2012-06-09
62.841667,22.594648,2012-06-09
64.645493,24.424145,2012-06-09
60.285969,22.287144,2012-06-10
64.644348,24.424091,2012-06-10
60.288788,22.290823,2012-06-10
60.285469,22.289532,2012-06-10
64.646545,24.428476,2012-06-11
60.285755,22.287689,2012-06-11
60.2878,22.291887,2012-06-11
60.287956,22.289927,2012-06-12
64.648697,24.425425,2012-06-12
64.645531,24.427773,2012-06-12
60.287094,22.285702,2012-06-12
60.285736,22.285345,2012-06-12
64.647751,24.4245,2012-06-13
60.919777,23.201309,2012-06-13
60.286236,22.287066,2012-06-13
60.286827,22.287664,2012-06-13
61.030403,28.174679,2012-06-14
64.64402,24.423965,2012-06-14
66.16909,25.776899,2012-06-14
61.873203,22.464645,2012-06-14
66.167961,25.776579,2012-06-14
66.169502,25.778591,2012-06-14
60.288406,22.290682,2012-06-15
60.287586,22.289885,2012-06-15
64.644562,24.428493,2012-06-16
63.219521,25.492947,2012-06-16
64.645699,24.427351,2012-06-17
64.645012,24.425943,2012-06-17
64.646126,24.424574,2012-06-18
60.285496,22.289387,2012-06-18
61.25127,28.868788,2012-06-19
61.02845,28.176199,2012-06-19
60.844124,26.795456,2012-06-19
60.667419,23.477098,2012-06-20
60.667549,23.480076,2012-06-20
60.285969,22.290655,2012-06-20
61.147747,28.796341,2012-06-20
61.146606,28.800566,2012-06-20
60.286999,22.286581,2012-06-20
64.64624,24.426935,2012-06-22
64.646477,24.422346,2012-06-22
62.663105,25.7211,2012-06-22
60.782681,26.73513,2012-06-22
64.644936,24.429714,2012-06-23
60.51767,25.187462,2012-06-23
60.284111,22.285202,2012-06-28
60.319279,25.520929,2012-06-28
60.285618,22.292194,2012-06-29
60.285976,22.29073,2012-06-29
61.029419,28.172985,2012-06-30
60.741405,26.861111,2012-06-30
60.298721,25.52523,2012-06-30
60.295864,25.492706,2012-06-30
64.644043,24.431437,2012-07-02
64.643341,24.421871,2012-07-02
64.645248,24.429483,2012-07-02
60.317688,25.523386,2012-07-02
60.286774,22.288431,2012-07-02
60.288311,22.288187,2012-07-03
64.644592,24.431501,2012-07-03
64.645332,24.432564,2012-07-03
64.642914,24.424555,2012-07-03
60.286369,22.293488,2012-07-03
64.645477,24.4296,2012-07-03
60.284061,22.287291,2012-07-03
60.284931,22.291649,2012-07-03
60.299053,24.913353,2012-07-04
60.287575,22.291906,2012-07-04
61.80093,27.869967,2012-07-04
61.4548,24.123022,2012-07-04
61.146175,28.796139,2012-07-05
61.129456,28.453396,2012-07-05
64.643951,24.430349,2012-07-06
61.130157,28.454731,2012-07-06
61.029644,28.174643,2012-07-06
64.65419,24.434046,2012-07-06
64.654587,24.432993,2012-07-06
64.650009,24.431726,2012-07-06
64.645424,24.430485,2012-07-06
60.318745,25.526634,2012-07-06
60.314533,25.525536,2012-07-06
