ACQ_DATE,LATITUDE,LONGITUDE,FIRE_COUNT
2021-05-01,62.845366999999996,24.674316260869567,115
2021-06-01,62.96054607117437,25.85784930960854,281
2021-07-01,63.449114709374996,24.47111856875,320
2021-08-01,63.026334210144924,24.67082115942029,138
2021-09-01,63.159943603174604,23.907612365079366,126
2021-10-01,63.21367102272727,23.840176772727272,44
2021-11-01,62.42817943859649,23.396287350877195,57
2021-12-01,63.0480217,23.643795633333333,30
2022-01-01,63.049032999999994,23.9019832,20
2022-02-01,60.701601619047615,22.645792999999998,21
2022-03-01,64.086974,24.192043862068964,29
2022-04-01,62.82534361363636,23.99670844318182,88
2022-05-01,62.95712945454545,24.215173082644625,121
2022-06-01,63.08707828776978,25.190715064748204,139
2022-07-01,62.25409943537415,24.87786576190476,147
2022-08-01,62.77324731100479,24.788823999999998,209
